"Wave","Organization","MeanConfidence","Group"
5,"CChurches",2.88973384030418,"Netherlands"
5,"CArmedForces",2.60948905109489,"Netherlands"
5,"CPolice",2.41754385964912,"Netherlands"
5,"CParliament",2.93258426966292,"Netherlands"
5,"CTelevision",2.73851590106007,"Netherlands"
5,"CWomensMvt",2.64383561643836,"Netherlands"
5,"CCourts",2.67509025270758,"Netherlands"
5,"CEU",3.00751879699248,"Netherlands"
6,"CChurches",3.05749486652977,"Netherlands"
6,"CArmedForces",2.46680942184154,"Netherlands"
6,"CPolice",2.28682170542636,"Netherlands"
6,"CParliament",2.74745417515275,"Netherlands"
6,"CTelevision",2.66272189349112,"Netherlands"
6,"CWomensMvt",2.64883720930233,"Netherlands"
6,"CCourts",2.30332681017613,"Netherlands"
6,"CEU",2.83333333333333,"Netherlands"
7,"CChurches",2.92801556420233,"Netherlands"
7,"CArmedForces",2.39299610894942,"Netherlands"
7,"CPolice",2.19005328596803,"Netherlands"
7,"CParliament",2.82674199623352,"Netherlands"
7,"CTelevision",2.75724637681159,"Netherlands"
7,"CWomensMvt",2.51230425055928,"Netherlands"
7,"CCourts",2.24511545293073,"Netherlands"
7,"CEU",2.74716981132075,"Netherlands"
1,"CChurches",2.37192118226601,"Other Countries"
1,"CArmedForces",2.41135335252982,"Other Countries"
1,"CPolice",2.39467213114754,"Other Countries"
1,"CParliament",2.41879432624113,"Other Countries"
1,"CTelevision",NA,"Other Countries"
1,"CWomensMvt",NA,"Other Countries"
1,"CCourts",2.14275618374558,"Other Countries"
1,"CEU",NA,"Other Countries"
2,"CChurches",2.15248447204969,"Other Countries"
2,"CArmedForces",2.21008533747091,"Other Countries"
2,"CPolice",2.61606450612498,"Other Countries"
2,"CParliament",2.54063826442383,"Other Countries"
2,"CTelevision",2.61823480432973,"Other Countries"
2,"CWomensMvt",NA,"Other Countries"
2,"CCourts",2.40498442367601,"Other Countries"
2,"CEU",2.85510688836105,"Other Countries"
3,"CChurches",2.12055922048054,"Other Countries"
3,"CArmedForces",2.27107407857925,"Other Countries"
3,"CPolice",2.57475003011685,"Other Countries"
3,"CParliament",2.83165576245596,"Other Countries"
3,"CTelevision",2.54633496761697,"Other Countries"
3,"CWomensMvt",2.5076726342711,"Other Countries"
3,"CCourts",2.52999208330796,"Other Countries"
3,"CEU",2.56243093922652,"Other Countries"
4,"CChurches",1.8457761068058,"Other Countries"
4,"CArmedForces",2.14331748972851,"Other Countries"
4,"CPolice",2.39386679444178,"Other Countries"
4,"CParliament",2.54290921139828,"Other Countries"
4,"CTelevision",2.40682987681272,"Other Countries"
4,"CWomensMvt",2.40191477379388,"Other Countries"
4,"CCourts",NA,"Other Countries"
4,"CEU",2.64910105393676,"Other Countries"
5,"CChurches",2.12694284850317,"Other Countries"
5,"CArmedForces",2.21334202263167,"Other Countries"
5,"CPolice",2.37106765456091,"Other Countries"
5,"CParliament",2.71966894476143,"Other Countries"
5,"CTelevision",2.4920431068178,"Other Countries"
5,"CWomensMvt",2.38968664241496,"Other Countries"
5,"CCourts",2.44936589059247,"Other Countries"
5,"CEU",2.69587179933809,"Other Countries"
6,"CChurches",2.11512619276156,"Other Countries"
6,"CArmedForces",2.15956524252761,"Other Countries"
6,"CPolice",2.43159836752949,"Other Countries"
6,"CParliament",2.76704708378735,"Other Countries"
6,"CTelevision",2.51137570574096,"Other Countries"
6,"CWomensMvt",2.35018181818182,"Other Countries"
6,"CCourts",2.4437078588022,"Other Countries"
6,"CEU",2.64131088394468,"Other Countries"
7,"CChurches",2.18902254119074,"Other Countries"
7,"CArmedForces",2.04913056898858,"Other Countries"
7,"CPolice",2.31442852042638,"Other Countries"
7,"CParliament",2.77206222085323,"Other Countries"
7,"CTelevision",2.62406960370147,"Other Countries"
7,"CWomensMvt",2.28385160938352,"Other Countries"
7,"CCourts",2.38553719008264,"Other Countries"
7,"CEU",2.69163199260287,"Other Countries"
