"Country","Count"
"ARG",2146
"ARM",1176
"AUS",2225
"BGD",1224
"BLR",1255
"BRA",2202
"CAN",2176
"CHE",1105
"CHL",1940
"CHN",2927
"COL",3411
"CYP",833
"CZE",940
"DEU",2069
"EGY",2520
"ESP",1816
"FIN",811
"GBR",1349
"GEO",1308
"HKG",1185
"HUN",906
"IDN",1779
"IND",4072
"IRN",1967
"IRQ",2069
"JOR",1403
"JPN",2626
"KGZ",1063
"KOR",2313
"MAR",1325
"MDA",780
"MEX",3249
"MYS",1071
"NGA",2286
"NLD",1412
"NZL",1153
"PAK",1717
"PER",1898
"PHL",1389
"POL",1132
"PRI",819
"ROU",1611
"RUS",2952
"SGP",1562
"SRB",1333
"SVK",792
"SVN",842
"SWE",1189
"THA",1159
"TUR",3135
"TWN",1250
"UKR",1837
"URY",1144
"USA",2488
"VEN",1018
"VNM",1015
"ZAF",4594
"ZWE",1032
