"Variable","Mean","SD","Min","Max","Missing"
"ILFriends",1.7150871379737,0.743574743245684,1,4,4634
"ILReligion",1.96463349952265,1.07518981586287,1,4,5730
"ICQHardWork",0.539210022197221,0.498462729330106,0,1,1339
"ICQThrift",0.353471123517378,0.478049779140738,0,1,767
"ICQDetermination",0.356416654636943,0.478942781738412,0,1,3018
"ICQFaith",0.380072977903912,0.485406940177035,0,1,1340
"ACTReligion",0.547217382121548,0.787417580511106,0,2,24244
"ACTArtsEd",0.272897739277414,0.61147330612664,0,2,24272
"ACTUnions",0.218439383266808,0.523760257905873,0,2,23338
"ACTPolParty",0.186742434116206,0.493349110788143,0,2,23274
"ACTEnvOrg",0.156808803301238,0.458641315884664,0,2,23665
"ACTProfessional",0.210533906749882,0.540424751684786,0,2,23732
"Health",2.20543613723208,0.886122688202609,1,5,2909
"FutureWork",2.28616039293729,0.842223275447898,1,3,5532
"FutureTech",1.37631436830903,0.626653769333824,1,3,5563
"PolPetition",2.13859396456442,0.813895554948711,1,3,10429
"PolBoycott",2.53938303517542,0.648911006503556,1,3,12183
"PolDemons",2.365855573879,0.723013192337174,1,3,10861
"PolScale",5.69680150650601,2.37539500941318,1,10,29373
"Competition",3.76242214208776,2.58734406756087,1,10,14588
"PolLeader",2.68684693111469,1.04039124779853,1,4,18749
"PolExperts",2.3391167192429,0.918015146794051,1,4,20750
"PolArmy",3.12894481358668,0.948254460299461,1,4,20687
"Sex",1.52389104427719,0.499431421406,1,2,1281
"Age",41.8474020386885,16.3798125989879,-3,99,1211
"CCivilService",2.5746979668009,0.872197191506672,1,4,8371
"CPolParties",2.9281090487239,0.872406683116692,1,4,13800
"CEnvProt",2.33474474207984,0.867488514089,1,4,21119
