"Organisation","Predictor","Estimate","Std. Error","t value","Pr(>|t|)"
"CChurches","ACTReligion",-0.375176579157096,0.00593334225769717,-63.2319126155902,0
"CChurches","PolPetition",-0.174857083215578,0.00599084332347832,-29.1873904514089,2.67810134722173e-185
"CChurches","PolArmy",0.122450782540928,0.00540914116071482,22.6377494878958,9.70647862195389e-113
"CChurches","ICQObedience",-0.0996240638955938,0.0100264418672108,-9.93613339757059,3.087452966371e-23
"CChurches","ICQIndependence",0.096009116126442,0.00922102480078826,10.4119789503478,2.35882376427575e-25
"CArmedForces","PolArmy",0.15558540302696,0.00530984849069991,29.3012885959863,1.02290259667486e-186
"CArmedForces","Trusted",0.102843749893346,0.0103881499202738,9.90010258637426,4.42534633407004e-23
"CArmedForces","ILFriends",0.0806646647911708,0.00632221466660947,12.7589253204574,3.29540529254857e-37
"CArmedForces","FutureTech",0.0762484184867195,0.00684182935262273,11.1444490291899,8.41806310348213e-29
"CArmedForces","Happy",0.0696795411293911,0.00709815981089534,9.81656414982884,1.0146768820088e-22
"CPolice","Trusted",0.216873757112301,0.010465738306497,20.7222606529028,6.98622162970028e-95
"CPolice","ILFriends",0.0837008267525735,0.00637351613328729,13.1325982396789,2.58950857860848e-39
"CPolice","Happy",0.0795927183354838,0.00715606697565671,11.1224110403438,1.07667098006426e-28
"CPolice","PolArmy",0.0790199356715455,0.00535173199854081,14.7653013441426,3.31804872438686e-49
"CPolice","ICQIndependence",-0.0503874207405949,0.00912218298428081,-5.52361433961822,3.34184033996106e-08
"CParliament","Trusted",0.195222002154605,0.0100051890278993,19.5120753451265,2.1823494591974e-84
"CParliament","PolInterest",0.104076737814804,0.00545771028592675,19.0696706791448,1.04788011246529e-80
"CParliament","ILPolitics",0.0961301845116281,0.00538235643624786,17.8602412624018,4.60613444614512e-71
"CParliament","PolArmy",0.091315447533578,0.00511645739371315,17.8473972334416,5.7867081954208e-71
"CParliament","PolPetition",-0.0731836026365483,0.00566407182280431,-12.9206699572384,4.11731217509652e-38
"CTelevision","PolPetition",-0.124880524697439,0.00539683138463253,-23.1396009616005,1.0898565812451e-117
"CTelevision","Trusted",0.10911568177053,0.00954723527676117,11.4290345432387,3.33388609161716e-30
"CTelevision","PolArmy",0.0955977853581414,0.00481777090527278,19.8427420559817,3.33333375258727e-87
"CTelevision","ICQThrift",-0.0761717482668707,0.00860286083915403,-8.85423461927824,8.76224018933552e-19
"CTelevision","FutureTech",0.0676887986679859,0.00630009581411529,10.744090354361,6.87259899061778e-27
"CWomensMvt","ACTEnvOrg",-0.0820337041143353,0.00991650362619665,-8.27244230492943,1.3540916141234e-16
"CWomensMvt","FutureTech",0.0781696597812293,0.00671977625581841,11.632777164797,3.16731807675758e-31
"CWomensMvt","Trusted",0.074053848255588,0.010208153491256,7.25438232477798,4.1109241008833e-13
"CWomensMvt","ICQTolerance",-0.0706150404314244,0.009445385612879,-7.47614161301569,7.81595835126959e-14
"CWomensMvt","Happy",0.0675912154898902,0.00696431296999856,9.70536731779074,3.03347944734268e-22
"CCourts","Trusted",0.239958624076493,0.0104653260930884,22.9289199344651,1.3748054138244e-115
"CCourts","PolArmy",0.0819175796531122,0.00534978810679881,15.3123035936707,8.99077990067694e-53
"CCourts","ILPolitics",0.0731442662449526,0.00563060065883505,12.990490833368,1.66308096867665e-38
"CCourts","Happy",0.0706548680436854,0.00715345075964773,9.877032835991,5.56902218445487e-23
"CCourts","ILFriends",0.061228705142027,0.00637228049238875,9.60860169528953,7.77212882630636e-22
"CEU","FutureTech",0.141466589534918,0.0120708732035489,11.7196649446475,1.51484023690086e-31
"CEU","Trusted",0.140695505020906,0.0180662517266274,7.78775294122236,7.39417040843753e-15
"CEU","ACTEnvOrg",-0.0587520417128537,0.0229384796644992,-2.56128752088925,0.0104408900932507
"CEU","ILPolitics",0.0435645215718389,0.010462602021804,4.16383242725384,3.15186721744859e-05
"CEU","PolPetition",-0.0435126634809858,0.0106983938701964,-4.06721457528345,4.78894364659772e-05
